model,manipuation_type,seed,total_num,mean,std,max,min,gamma_-0.1,gamma_-0.09,gamma_-0.08,gamma_-0.07,gamma_-0.06,gamma_-0.05,gamma_-0.04,gamma_-0.03,gamma_-0.02,gamma_-0.01,gamma_0,gamma_0.01,gamma_0.02,gamma_0.03,gamma_0.04,gamma_0.05,gamma_0.06,gamma_0.07,gamma_0.08,gamma_0.09,gamma_1.0
anet_vit_8_improv,counter_action,0,"(1168,)",0.015581571,0.03372408,0.14896746,-0.09804584,1.0,0.9982876712328768,0.997431506849315,0.9965753424657534,0.9888698630136986,0.9777397260273972,0.9597602739726028,0.9323630136986302,0.8852739726027398,0.7919520547945206,0.6695205479452054,0.5368150684931506,0.4160958904109589,0.2842465753424658,0.1960616438356164,0.1327054794520548,0.0941780821917808,0.071917808219178,0.0402397260273972,0.0222602739726027,0.0
anet_vit_8_improv,counter_attribute,0,"(818,)",0.012159073,0.036193818,0.17897275,-0.13454594,0.9975550122249388,0.9951100244498776,0.9938875305623472,0.991442542787286,0.9853300733496332,0.9682151589242054,0.9437652811735942,0.9156479217603912,0.8484107579462102,0.7555012224938875,0.6185819070904646,0.4865525672371638,0.3471882640586797,0.2506112469437653,0.187041564792176,0.1369193154034229,0.0953545232273838,0.0586797066014669,0.0452322738386308,0.0317848410757946,0.0
anet_frame_8_improv,temporal_contact_swap,0,"(184,)",-0.002141166,0.03466981,0.11400388,-0.13734032,0.9891304347826086,0.9891304347826086,0.9836956521739132,0.9836956521739132,0.9510869565217392,0.907608695652174,0.8858695652173914,0.842391304347826,0.7336956521739131,0.657608695652174,0.4293478260869565,0.3260869565217391,0.217391304347826,0.1413043478260869,0.0815217391304347,0.0652173913043478,0.0380434782608695,0.0271739130434782,0.0217391304347826,0.0217391304347826,0.0
anet_frame_8_improv,temporal_action_swap,0,"(62,)",0.005889799,0.034757543,0.11369865,-0.087641746,1.0,1.0,0.9838709677419356,0.9838709677419356,0.967741935483871,0.967741935483871,0.935483870967742,0.8870967741935484,0.7741935483870968,0.6612903225806451,0.532258064516129,0.4193548387096774,0.3225806451612903,0.2258064516129032,0.1774193548387097,0.1129032258064516,0.0483870967741935,0.032258064516129,0.0161290322580645,0.0161290322580645,0.0
anet_frame_8_improv,neighborhood_same_entity,0,"(102,)",0.0013971046,0.036672823,0.13282107,-0.109067544,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9509803921568628,0.9509803921568628,0.9019607843137256,0.8725490196078431,0.8431372549019608,0.6568627450980392,0.4901960784313725,0.3529411764705882,0.2156862745098039,0.1568627450980392,0.1176470588235294,0.0686274509803921,0.0490196078431372,0.0490196078431372,0.0392156862745098,0.0196078431372549,0.0
anet_frame_8_improv,neighborhood_different_entity,0,"(35,)",0.0004281453,0.036812052,0.09697482,-0.0987232,1.0,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9428571428571428,0.9428571428571428,0.9142857142857144,0.8285714285714286,0.7428571428571429,0.6,0.5142857142857142,0.3714285714285714,0.2,0.2,0.1142857142857142,0.0571428571428571,0.0571428571428571,0.0571428571428571,0.0285714285714285,0.0285714285714285,0.0
anet_frame_8_improv,counter_spatial,0,"(935,)",0.010147638,0.037320662,0.185992,-0.1491699,0.9946524064171124,0.9946524064171124,0.990374331550802,0.983957219251337,0.9689839572192512,0.960427807486631,0.9315508021390374,0.8866310160427807,0.8224598930481284,0.7294117647058823,0.5967914438502674,0.4770053475935829,0.3518716577540107,0.2577540106951871,0.1978609625668449,0.1283422459893048,0.0887700534759358,0.0566844919786096,0.0385026737967914,0.0267379679144385,0.0
anet_frame_8_improv,counter_contact,0,"(1008,)",0.014190549,0.041108493,0.16272303,-0.109837025,0.998015873015873,0.992063492063492,0.9851190476190476,0.9742063492063492,0.9563492063492064,0.9434523809523808,0.9196428571428572,0.8938492063492064,0.8353174603174603,0.748015873015873,0.6309523809523809,0.5138888888888888,0.4057539682539682,0.310515873015873,0.2271825396825396,0.1696428571428571,0.123015873015873,0.0873015873015873,0.0625,0.0406746031746031,0.0
anet_frame_8_improv,counter_action,0,"(1168,)",0.021452816,0.042170197,0.1815332,-0.11499615,0.997431506849315,0.9957191780821918,0.9931506849315068,0.9863013698630136,0.978595890410959,0.9631849315068494,0.9434931506849316,0.9049657534246576,0.860445205479452,0.788527397260274,0.7037671232876712,0.5958904109589042,0.4691780821917808,0.3784246575342466,0.2816780821917808,0.2200342465753424,0.1669520547945205,0.1258561643835616,0.0941780821917808,0.0650684931506849,0.0
anet_frame_8_improv,counter_attribute,0,"(818,)",0.017317055,0.044717174,0.2113445,-0.14214812,0.9926650366748166,0.991442542787286,0.9902200488997556,0.9743276283618582,0.9633251833740832,0.9486552567237164,0.9315403422982884,0.8936430317848411,0.8374083129584352,0.7603911980440098,0.6515892420537898,0.5342298288508558,0.4254278728606357,0.3251833740831296,0.2506112469437653,0.1882640586797066,0.1503667481662591,0.1136919315403423,0.0880195599022004,0.0709046454767726,0.0
anet_vit_4_improv,temporal_contact_swap,0,"(184,)",-0.0009647977,0.035435922,0.13015541,-0.1313338,0.9891304347826086,0.9836956521739132,0.9836956521739132,0.9782608695652174,0.967391304347826,0.9347826086956522,0.875,0.8315217391304348,0.75,0.6684782608695652,0.4510869565217391,0.3315217391304347,0.2065217391304347,0.1467391304347826,0.092391304347826,0.0543478260869565,0.0380434782608695,0.0271739130434782,0.0217391304347826,0.0217391304347826,0.0
anet_vit_4_improv,temporal_action_swap,0,"(62,)",0.002949655,0.03406555,0.07875429,-0.09723221,1.0,0.967741935483871,0.967741935483871,0.967741935483871,0.9516129032258064,0.9032258064516128,0.9032258064516128,0.8548387096774194,0.8387096774193549,0.7419354838709677,0.6129032258064516,0.4354838709677419,0.2419354838709677,0.1612903225806451,0.1451612903225806,0.064516129032258,0.0483870967741935,0.0161290322580645,0.0,0.0,0.0
anet_vit_4_improv,neighborhood_same_entity,0,"(102,)",0.0027075345,0.034405172,0.111114606,-0.114300326,0.9901960784313726,0.9901960784313726,0.9901960784313726,0.9803921568627452,0.9607843137254902,0.9411764705882352,0.9117647058823528,0.8921568627450981,0.803921568627451,0.696078431372549,0.4803921568627451,0.3333333333333333,0.2647058823529412,0.1862745098039215,0.1176470588235294,0.0784313725490196,0.0588235294117647,0.0490196078431372,0.0196078431372549,0.0196078431372549,0.0
anet_vit_4_improv,neighborhood_different_entity,0,"(35,)",-0.003421656,0.033199523,0.07697342,-0.063246235,1.0,1.0,1.0,1.0,0.9714285714285714,0.9142857142857144,0.8571428571428571,0.7714285714285715,0.7142857142857143,0.6,0.4285714285714285,0.2857142857142857,0.2,0.1714285714285714,0.0857142857142857,0.0857142857142857,0.0571428571428571,0.0285714285714285,0.0,0.0,0.0
anet_vit_4_improv,counter_spatial,0,"(935,)",0.007750976,0.034480937,0.14715965,-0.11335674,0.9978609625668448,0.9967914438502674,0.9935828877005348,0.9850267379679144,0.9807486631016042,0.9593582887700536,0.9262032085561496,0.8802139037433155,0.8181818181818182,0.7262032085561497,0.5818181818181818,0.441711229946524,0.3262032085561497,0.2085561497326203,0.1411764705882353,0.0909090909090909,0.0663101604278074,0.0459893048128342,0.0331550802139037,0.0245989304812834,0.0
anet_vit_4_improv,counter_contact,0,"(1008,)",0.0102830315,0.039351672,0.16596527,-0.13208807,0.996031746031746,0.9900793650793652,0.9831349206349206,0.9751984126984128,0.9593253968253967,0.9404761904761904,0.9196428571428572,0.875,0.8154761904761905,0.7341269841269841,0.5952380952380952,0.4791666666666667,0.3591269841269841,0.2648809523809524,0.1805555555555555,0.1329365079365079,0.1001984126984127,0.0724206349206349,0.0486111111111111,0.0347222222222222,0.0
anet_vit_4_improv,counter_action,0,"(1168,)",0.016718786,0.03890272,0.15044807,-0.10828939,0.9982876712328768,0.997431506849315,0.9931506849315068,0.9811643835616438,0.9777397260273972,0.9657534246575342,0.940068493150685,0.9092465753424658,0.8458904109589042,0.773972602739726,0.663527397260274,0.5445205479452054,0.4383561643835616,0.3339041095890411,0.2465753424657534,0.1806506849315068,0.1164383561643835,0.0856164383561643,0.0633561643835616,0.0428082191780821,0.0
anet_vit_4_improv,counter_attribute,0,"(818,)",0.015182038,0.04119466,0.17122477,-0.1346433,0.9963325183374084,0.9951100244498776,0.9865525672371638,0.9816625916870416,0.9706601466992664,0.952322738386308,0.930317848410758,0.8997555012224939,0.8312958435207825,0.7530562347188264,0.636919315403423,0.5146699266503667,0.4046454767726161,0.3117359413202934,0.2408312958435207,0.1638141809290953,0.1295843520782396,0.0965770171149144,0.0684596577017114,0.0537897310513447,0.0
